,Alaska Statistical Weeks,,,,,,,Canada Statistical Weeks,,,
,Period 1,Period 2,Period 3,Period 4,,,,Period 1,Period 2,Period 3,Period 4
Year,(~< July 16),(~July 16 - Aug 1),(~Aug 1-15),(~>Aug 16),,,,(~< July 16),(~July 16 - Aug 1),(~Aug 1-15),(~>Aug 16)
1980,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1981,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1982,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1983,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  75 & 81,> WK 81
1984,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1985,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1986,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1987,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1988,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  75 & 81,> WK 81
1989,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1990,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1991,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1992,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1993,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1994,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  75 & 81,> WK 81
1995,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1996,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1997,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1998,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
1999,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2000,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  75 & 81,> WK 81
2001,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2002,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2003,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2004,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2005,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  75 & 81,> WK 81
2006,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2007,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2008,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2009,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 & 74,WKS  81 & 82,> WK 82
2010,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 74,WKS 74 & 75,WKS  81 & 82,> WK 82
2011,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,<WK 74,WKS 74 & 75,WKS  81 & 82,>WK 82
2012,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK73,WKS 73-75,WKS 81 & 82,>WK 82
2013,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK73,WKS 73-75,WKS 81 & 82,>WK 82
2014,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK74,WKS 74 & 75,WKS 81 & 82,>WK 82
2015,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,Jul 19 and earlier,Jul 20 - Aug 2,Aug 3 - 16,Aug 17 on
2016,< WK 30,WKS 30 & 31,WKS 32 & 33,>WK 33,,,,,,,
2017,< WK 29,WKS 29 - 31,WKS 32 & 33,>WK 33,,,,<WK 73,WKS 73 - 75,WKS 81 & 82,>WK 82
